"Call","Date","Prec","Check","Sec","Class","ClassWFD","SpcNum","Name","State","County","Grid","1010","CWOps","Pwr","Future","Future","Future","Future","Future"
"AA3R","2024/10/16","","19","DE","","","","","DE","","","","","","","","","","",""
"AA3S","2024/10/16","","66","MDC","","","","","MD","","","","","","","","","","",""
"AA3WZ","2024/10/16","","87","MDC","","","","","MD","","","","","","","","","","",""
"AA3YV","2024/10/16","","2","MDC","","","","","MD","","","","","","","","","","",""
"AA3ZA","2024/10/16","","93","WPA","","","","","PA","","","","","","","","","","",""
"AA3ZV","2024/10/16","","70","WPA","","","","","PA","","","","","","","","","","",""
"AA4AK","2024/10/16","","64","ME","","","","","ME","","","","","","","","","","",""
"AA4BL","2024/10/16","","80","VA","","","","","VA","","","","","","","","","","",""
"AA4CF","2024/10/16","","74","GA","","","","","GA","","","","","","","","","","",""
"AA4CS","2024/10/16","","82","SFL","","","","","FL","","","","","","","","","","",""
"AA4DD","2024/10/16","","76","TN","","","","","TN","","","","","","","","","","",""
"AA4FA","2024/10/16","","0","GA","","","","","GA","","","","","","","","","","",""
"AA4FU","2024/10/16","","78","NC","","","","","NC","","","","","","","","","","",""
"AA4GA","2024/10/16","","76","GA","","","","","GA","","","","","","","","","","",""
"AA4HV","2024/10/16","","79","TN","","","","","TN","","","","","","","","","","",""
"AA4JS","2024/10/16","","2","SFL","","","","","FL","","","","","","","","","","",""
"AA4KD","2024/10/16","","54","VA","","","","","VA","","","","","","","","","","",""
"AA4LR","2024/10/16","","75","GA","","","","","GA","","","","","","","","","","",""
"AA4LS","2024/10/16","","18","NNY","","","","","NY","","","","","","","","","","",""
"AA4MB","2024/10/16","","74","TN","","","","","TN","","","","","","","","","","",""
"AA4N","2024/10/16","","8","TN","","","","","TN","","","","","","","","","","",""
"AA4NN","2024/10/16","","55","SC","","","","","SC","","","","","","","","","","",""
"AA4NO","2024/10/16","","92","NC","","","","","NC","","","","","","","","","","",""
"AA4NP","2024/10/16","","75","SFL","","","","","FL","","","","","","","","","","",""
"AA4NU","2024/10/16","","72","TN","","","","","TN","","","","","","","","","","",""
"AA4Q","2024/10/16","","75","AZ","","","","","AZ","","","","","","","","","","",""
"AA4R","2024/10/16","","55","NC","","","","","NC","","","","","","","","","","",""
"AA4RX","2024/10/16","","0","SFL","","","","","FL","","","","","","","","","","",""
"AA4SB","2024/10/16","","12","MO","","","","","MO","","","","","","","","","","",""
"AA4SD","2024/10/16","","85","SC","","","","","SC","","","","","","","","","","",""
"AA4TI","2024/10/16","","64","WCF","","","","","FL","","","","","","","","","","",""
"AA4V","2024/10/16","","63","SC","","","","","SC","","","","","","","","","","",""
"AA4W","2024/10/16","","66","NFL","","","","","FL","","","","","","","","","","",""
"AA4XA","2024/10/16","","79","KY","","","","","KY","","","","","","","","","","",""
"AA4XG","2024/10/16","","12","GA","","","","","GA","","","","","","","","","","",""
"AA4XX","2024/10/16","","0","NC","","","","","NC","","","","","","","","","","",""
"AA4YL","2024/10/16","","84","AL","","","","","AL","","","","","","","","","","",""
"AA5AH","2024/10/16","","17","NTX","","","","","TX","","","","","","","","","","",""
"AA5AR","2024/10/16","","2","AR","","","","","AR","","","","","","","","","","",""
"AA5AU","2024/10/16","","72","LA","","","","","LA","","","","","","","","","","",""
"AA5B","2024/10/16","","68","NM","","","","","NM","","","","","","","","","","",""
"AA5BE","2024/10/16","","82","AR","","","","","AR","","","","","","","","","","",""
"AA5BF","2024/10/16","","87","STX","","","","","TX","","","","","","","","","","",""
"AA5CK","2024/10/16","","59","OK","","","","","OK","","","","","","","","","","",""
"AA5CO","2024/10/16","","77","OK","","","","","OK","","","","","","","","","","",""
"AA5D","2024/10/16","","12","NTX","","","","","TX","","","","","","","","","","",""
"AA5DK","2024/10/16","","70","NFL","","","","","FL","","","","","","","","","","",""
"AA5FX","2024/10/16","","11","STX","","","","","TX","","","","","","","","","","",""
"AA5HV","2024/10/16","","67","OK","","","","","OK","","","","","","","","","","",""
"AA5JD","2024/10/16","","93","STX","","","","","TX","","","","","","","","","","",""
"AA5JF","2024/10/16","","87","GA","","","","","GA","","","","","","","","","","",""
"AA5JG","2024/10/16","","80","OK","","","","","OK","","","","","","","","","","",""
"AA5NA","2024/10/16","","0","AZ","","","","","AZ","","","","","","","","","","",""
"AA5NT","2024/10/16","","73","WCF","","","","","FL","","","","","","","","","","",""
"AA5PW","2024/10/16","","12","AR","","","","","AR","","","","","","","","","","",""
"AA5R","2024/10/16","","97","STX","","","","","TX","","","","","","","","","","",""
"AA5TB","2024/10/16","","79","NTX","","","","","TX","","","","","","","","","","",""
"AA5TL","2024/10/16","","83","OR","","","","","OR","","","","","","","","","","",""
"AA5UK","2024/10/16","","87","IL","","","","","IL","","","","","","","","","","",""
"AA5UY","2024/10/16","","79","LA","","","","","LA","","","","","","","","","","",""
"AA5UZ","2024/10/16","","87","LA","","","","","CA","","","","","","","","","","",""
"AA5VU","2024/10/16","","73","STX","","","","","TX","","","","","","","","","","",""
"AA5Y","2024/10/16","","5","OR","","","","","OR","","","","","","","","","","",""
"AA5YW","2024/10/16","","74","AR","","","","","AR","","","","","","","","","","",""
"AA5ZZ","2024/10/16","","90","NTX","","","","","TX","","","","","","","","","","",""
"AA6AD","2024/10/16","","37","SCV","","","","","CA","","","","","","","","","","",""
"AA6DP","2024/10/16","","54","LAX","","","","","CA","","","","","","","","","","",""
"AA6DX","2024/10/16","","64","SF","","","","","CA","","","","","","","","","","",""
"AA6EE","2024/10/16","","52","SDG","","","","","CA","","","","","","","","","","",""
"AA6FS","2024/10/16","","68","MDC","","","","","MD","","","","","","","","","","",""
"AA6G","2024/10/16","","70","AZ","","","","","CA","","","","","","","","","","",""
"AA6GZ","2024/10/16","","0","SJV","","","","","CA","","","","","","","","","","",""
"AA6K","2024/10/16","","94","SJV","","","","","CA","","","","","","","","","","",""
"AA6KN","2024/10/16","","68","SV","","","","","CA","","","","","","","","","","",""
"AA6MK","2024/10/16","","2","EB","","","","","CA","","","","","","","","","","",""
"AA6OC","2024/10/16","","74","ORG","","","","","CA","","","","","","","","","","",""
"AA6PW","2024/10/16","","89","ORG","","","","","CA","","","","","","","","","","",""
"AA6R","2024/10/16","","68","SJV","","","","","CA","","","","","","","","","","",""
"AA6RR","2024/10/16","","68","EWA","","","","","WA","","","","","","","","","","",""
"AA6SS","2024/10/16","","51","ORG","","","","","CA","","","","","","","","","","",""
"AA6VX","2024/10/16","","76","SB","","","","","CA","","","","","","","","","","",""
"AA6W","2024/10/16","","77","SCV","","","","","CA","","","","","","","","","","",""
"AA6WH","2024/10/16","","11","SB","","","","","CA","","","","","","","","","","",""
"AA6XA","2024/10/16","","4","SCV","","","","","CA","","","","","","","","","","",""
"AA6XV","2024/10/16","","65","SCV","","","","","CA","","","","","","","","","","",""
"AA6YX","2024/10/16","","72","SF","","","","","CA","","","","","","","","","","",""
"AA7A","2024/10/16","","63","AZ","","","","","AZ","","","","","","","","","","",""
"AA7CT","2024/10/16","","61","OR","","","","","OR","","","","","","","","","","",""
"AA7FY","2024/10/16","","73","WWA","","","","","WA","","","","","","","","","","",""
"AA7IH","2024/10/16","","55","OR","","","","","OR","","","","","","","","","","",""
"AA7MT","2024/10/16","","89","MT","","","","","MT","","","","","","","","","","",""
"AA7RX","2024/10/16","","10","NE","","","","","NE","","","","","","","","","","",""
"AA7TR","2024/10/16","","67","UT","","","","","UT","","","","","","","","","","",""
"AA7UN","2024/10/16","","83","ID","","","","","ID","","","","","","","","","","",""
"AA7V","2024/10/16","","70","AZ","","","","","AZ","","","","","","","","","","",""
"AA7VR","2024/10/16","","91","ID","","","","","ID","","","","","","","","","","",""
"AA7VT","2024/10/16","","82","WWA","","","","","WA","","","","","","","","","","",""
"AA7XP","2024/10/16","","52","OR","","","","","OR","","","","","","","","","","",""
"AA7YA","2024/10/16","","92","MT","","","","","MT","","","","","","","","","","",""
"AA8BV","2024/10/16","","72","OH","","","","","OH","","","","","","","","","","",""
"AA8CA","2024/10/16","","71","OH","","","","","","","","","","","","","","","",""
"AA8CS","2024/10/16","","68","OH","","","","","OH","","","","","","","","","","",""
"AA8DX","2024/10/16","","90","OH","","","","","OH","","","","","","","","","","",""
"AA8EE","2024/10/16","","69","MI","","","","","MI","","","","","","","","","","",""
"AA8HH","2024/10/16","","64","OH","","","","","OH","","","","","","","","","","",""
"AA8IA","2024/10/16","","91","OH","","","","","OH","","","","","","","","","","",""
"AA8LL","2024/10/16","","63","OH","","","","","OH","","","","","","","","","","",""
"AA8N","2024/10/16","","56","MI","","","","","MI","","","","","","","","","","",""
"AA8OY","2024/10/16","","93","OH","","","","","OH","","","","","","","","","","",""
"AA8PA","2024/10/16","","93","MI","","","","","MI","","","","","","","","","","",""
"AA8PI","2024/10/16","","18","OH","","","","","OH","","","","","","","","","","",""
"AA8R","2024/10/16","","73","WCF","","","","","FL","","","","","","","","","","",""
"AA8RV","2024/10/16","","88","OH","","","","","OH","","","","","","","","","","",""
"AA8SW","2024/10/16","","17","OH","","","","","OH","","","","","","","","","","",""
"AA8TA","2024/10/16","","74","OH","","","","","OH","","","","","","","","","","",""
"AA8TJ","2024/10/16","","94","TN","","","","","TN","","","","","","","","","","",""
"AA8U","2024/10/16","","62","MI","","","","","MI","","","","","","","","","","",""
"AA8UL","2024/10/16","","95","WV","","","","","WV","","","","","","","","","","",""
"AA8UU","2024/10/16","","94","MI","","","","","MI","","","","","","","","","","",""
"AA8VG","2024/10/16","","95","MI","","","","","MI","","","","","","","","","","",""
"AA8XN","2024/10/16","","95","OH","","","","","OH","","","","","","","","","","",""
"AA8YN","2024/10/16","","95","OH","","","","","OH","","","","","","","","","","",""
"AA9A","2024/10/16","","69","WI","","","","","WI","","","","","","","","","","",""
"AA9BL","2024/10/16","","14","IN","","","","","IN","","","","","","","","","","",""
"AA9D","2024/10/16","","70","IL","","","","","IL","","","","","","","","","","",""
"AA9DY","2024/10/16","","90","EMA","","","","","MA","","","","","","","","","","",""
"AA9FW","2024/10/16","","91","WI","","","","","WI","","","","","","","","","","",""
"AA9GB","2024/10/16","","90","WI","","","","","WI","","","","","","","","","","",""
"AA9GE","2024/10/16","","88","IN","","","","","IN","","","","","","","","","","",""
"AA9H","2024/10/16","","82","IN","","","","","IN","","","","","","","","","","",""
"AA9HL","2024/10/16","","76","WI","","","","","WI","","","","","","","","","","",""
"AA9HQ","2024/10/16","","68","IL","","","","","IL","","","","","","","","","","",""
"AA9IL","2024/10/16","","87","IL","","","","","IL","","","","","","","","","","",""
"AA9IV","2024/10/16","","73","IL","","","","","IL","","","","","","","","","","",""
"AA9JS","2024/10/16","","86","IL","","","","","IL","","","","","","","","","","",""
"AA9K","2024/10/16","","57","TN","","","","","TN","","","","","","","","","","",""
"AA9KH","2024/10/16","","72","IL","","","","","IL","","","","","","","","","","",""
"AA9LC","2024/10/16","","66","IL","","","","","IL","","","","","","","","","","",""
"AA9MX","2024/10/16","","85","AZ","","","","","AZ","","","","","","","","","","",""
"AA9NF","2024/10/16","","93","IL","","","","","IL","","","","","","","","","","",""
"AA9NN","2024/10/16","","74","IL","","","","","IL","","","","","","","","","","",""
"AA9P","2024/10/16","","92","NC","","","","","NC","","","","","","","","","","",""
"AA9RB","2024/10/16","","94","WI","","","","","WI","","","","","","","","","","",""
"AA9RK","2024/10/16","","94","WI","","","","","WI","","","","","","","","","","",""
"AA9RR","2024/10/16","","89","WI","","","","","WI","","","","","","","","","","",""
"AA9RT","2024/10/16","","94","IL","","","","","IL","","","","","","","","","","",""
"AA9SJ","2024/10/16","","94","WI","","","","","WI","","","","","","","","","","",""
"AA9SR","2024/10/16","","92","WI","","","","","WI","","","","","","","","","","",""
"AA9U","2024/10/16","","1","IL","","","","","IL","","","","","","","","","","",""
"AA9WJ","2024/10/16","","67","IN","","","","","IN","","","","","","","","","","",""
"AA9WP","2024/10/16","","72","WI","","","","","WI","","","","","","","","","","",""
"AA9YP","2024/10/16","","76","IN","","","","","IN","","","","","","","","","","",""
"AB0BX","2024/10/16","","14","CO","","","","","CO","","","","","","","","","","",""
"AB0CD","2024/10/16","","0","CO","","","","","CO","","","","","","","","","","",""
"AB0DP","2024/10/16","","74","KS","","","","","KS","","","","","","","","","","",""
"AB0FX","2024/10/16","","65","NE","","","","","NE","","","","","","","","","","",""
"AB0JM","2024/10/16","","70","CO","","","","","CO","","","","","","","","","","",""
"AB0MV","2024/10/16","","96","CO","","","","","CO","","","","","","","","","","",""
"AB0OK","2024/10/16","","65","MO","","","","","MO","","","","","","","","","","",""
"AB0OX","2024/10/16","","0","NNJ","","","","","NJ","","","","","","","","","","",""
"AB0RE","2024/10/16","","97","MN","","","","","MN","","","","","","","","","","",""
"AB0RX","2024/10/16","","1","MO","","","","","MO","","","","","","","","","","",""
"AB0S","2024/10/16","","69","KS","","","","","KS","","","","","","","","","","",""
"AB0SD","2024/10/16","","1","IA","","","","","IA","","","","","","","","","","",""
"AB0TO","2024/10/16","","0","MO","","","","","MO","","","","","","","","","","",""
"AB0TX","2024/10/16","","93","KS","","","","","KS","","","","","","","","","","",""
"AB0VM","2024/10/16","","1","KS","","","","","KS","","","","","","","","","","",""
"AB0WR","2024/10/16","","2","KS","","","","","KS","","","","","","","","","","",""
"AB0YM","2024/10/16","","69","CO","","","","","CO","","","","","","","","","","",""
"AB1AX","2024/10/16","","1","VA","","","","","VA","","","","","","","","","","",""
"AB1BR","2024/10/16","","0","ME","","","","","ME","","","","","","","","","","",""
"AB1BX","2024/10/16","","96","RI","","","","","RI","","","","","","","","","","",""
"AB1CH","2024/10/16","","2","VT","","","","","VT","","","","","","","","","","",""
"AB1DO","2024/10/16","","4","CT","","","","","CT","","","","","","","","","","",""
"AB1DQ","2024/10/16","","2","EMA","","","","","MA","","","","","","","","","","",""
"AB1DZ","2024/10/16","","4","ME","","","","","ME","","","","","","","","","","",""
"AB1EH","2024/10/16","","59","EMA","","","","","MA","","","","","","","","","","",""
"AB1EP","2024/10/16","","5","ME","","","","","ME","","","","","","","","","","",""
"AB1FD","2024/10/16","","76","VT","","","","","VT","","","","","","","","","","",""
"AB1GF","2024/10/16","","96","WMA","","","","","MA","","","","","","","","","","",""
"AB1HL","2024/10/16","","0","EMA","","","","","MA","","","","","","","","","","",""
"AB1J","2024/10/16","","78","EMA","","","","","MA","","","","","","","","","","",""
"AB1JB","2024/10/16","","8","NH","","","","","NH","","","","","","","","","","",""
"AB1JV","2024/10/16","","75","RI","","","","","RI","","","","","","","","","","",""
"AB1KI","2024/10/16","","93","ME","","","","","ME","","","","","","","","","","",""
"AB1NG","2024/10/16","","99","CT","","","","","CT","","","","","","","","","","",""
"AB1OC","2024/10/16","","10","NH","","","","","NH","","","","","","","","","","",""
"AB1OD","2024/10/16","","10","CT","","","","","CT","","","","","","","","","","",""
"AB1QP","2024/10/16","","64","CT","","","","","CT","","","","","","","","","","",""
"AB1RZ","2024/10/16","","9","ENY","","","","","NY","","","","","","","","","","",""
"AB1SC","2024/10/16","","64","EMA","","","","","MA","","","","","","","","","","",""
"AB1T","2024/10/16","","61","VT","","","","","VT","","","","","","","","","","",""
"AB1UH","2024/10/16","","13","VT","","","","","VT","","","","","","","","","","",""
"AB1WQ","2024/10/16","","14","EMA","","","","","MA","","","","","","","","","","",""
"AB1XB","2024/10/16","","59","EMA","","","","","MA","","","","","","","","","","",""
"AB1XW","2024/10/16","","90","WMA","","","","","MA","","","","","","","","","","",""
"AB1XX","2024/10/16","","67","NH","","","","","NH","","","","","","","","","","",""
"AB2DE","2024/10/16","","95","NNJ","","","","","NJ","","","","","","","","","","",""
"AB2E","2024/10/16","","67","SNJ","","","","","NJ","","","","","","","","","","",""
"AB2G","2024/10/16","","92","WNY","","","","","NY","","","","","","","","","","",""
"AB2IO","2024/10/16","","79","SNJ","","","","","NJ","","","","","","","","","","",""
"AB2IW","2024/10/16","","77","ENY","","","","","NY","","","","","","","","","","",""
"AB2KX","2024/10/16","","70","ENY","","","","","NY","","","","","","","","","","",""
"AB2NG","2024/10/16","","0","WNY","","","","","NY","","","","","","","","","","",""
"AB2RA","2024/10/16","","59","WNY","","","","","NY","","","","","","","","","","",""
"AB2RC","2024/10/16","","1","SNJ","","","","","NJ","","","","","","","","","","",""
"AB2TC","2024/10/16","","68","WNY","","","","","NY","","","","","","","","","","",""
"AB2VI","2024/10/16","","3","SNJ","","","","","NJ","","","","","","","","","","",""
"AB2WS","2024/10/16","","0","ENY","","","","","NY","","","","","","","","","","",""
"AB2ZY","2024/10/16","","69","NNY","","","","","NY","","","","","","","","","","",""
"AB3AI","2024/10/16","","0","GA","","","","","PA","","","","","","","","","","",""
"AB3AP","2024/10/16","","0","EPA","","","","","PA","","","","","","","","","","",""
"AB3BB","2024/10/16","","0","EPA","","","","","PA","","","","","","","","","","",""
"AB3BQ","2024/10/16","","60","MDC","","","","","MD","","","","","","","","","","",""
"AB3CV","2024/10/16","","5","MDC","","","","","MD","","","","","","","","","","",""
"AB3CX","2024/10/16","","63","WNY","","","","","NY","","","","","","","","","","",""
"AB3DC","2024/10/16","","10","MI","","","","","MI","","","","","","","","","","",""
"AB3GB","2024/10/16","","7","EPA","","","","","PA","","","","","","","","","","",""
"AB3GE","2024/10/16","","77","MDC","","","","","MD","","","","","","","","","","",""
"AB3GY","2024/10/16","","8","WPA","","","","","PA","","","","","","","","","","",""
"AB3IC","2024/10/16","","86","MDC","","","","","MD","","","","","","","","","","",""
"AB3LK","2024/10/16","","11","MDC","","","","","MD","","","","","","","","","","",""
"AB3QK","2024/10/16","","4","MDC","","","","","MD","","","","","","","","","","",""
"AB3RU","2024/10/16","","12","WPA","","","","","PA","","","","","","","","","","",""
"AB3RW","2024/10/16","","13","MDC","","","","","MD","","","","","","","","","","",""
"AB3RY","2024/10/16","","13","MDC","","","","","MD","","","","","","","","","","",""
"AB3S","2024/10/16","","78","SFL","","","","","FL","","","","","","","","","","",""
"AB3SX","2024/10/16","","63","MDC","","","","","MD","","","","","","","","","","",""
"AB3TM","2024/10/16","","12","MDC","","","","","MD","","","","","","","","","","",""
"AB3WS","2024/10/16","","14","MDC","","","","","MD","","","","","","","","","","",""
"AB3XJ","2024/10/16","","14","MDC","","","","","","","","","","","","","","","",""
"AB4B","2024/10/16","","63","AL","","","","","AL","","","","","","","","","","",""
"AB4BJ","2024/10/16","","89","GA","","","","","GA","","","","","","","","","","",""
"AB4EJ","2024/10/16","","65","AL","","","","","AL","","","","","","","","","","",""
"AB4FH","2024/10/16","","69","SC","","","","","SC","","","","","","","","","","",""
"AB4G","2024/10/16","","0","NFL","","","","","FL","","","","","","","","","","",""
"AB4GG","2024/10/16","","99","TN","","","","","TN","","","","","","","","","","",""
"AB4IQ","2024/10/16","","74","KY","","","","","KY","","","","","","","","","","",""
"AB4KJ","2024/10/16","","86","IL","","","","","IL","","","","","","","","","","",""
"AB4LX","2024/10/16","","75","GA","","","","","GA","","","","","","","","","","",""
"AB4MT","2024/10/16","","94","AL","","","","","AL","","","","","","","","","","",""
"AB4SF","2024/10/16","","64","VA","","","","","VA","","","","","","","","","","",""
"AB4VT","2024/10/16","","14","GA","","","","","GA","","","","","","","","","","",""
"AB5FS","2024/10/16","","58","OK","","","","","OK","","","","","","","","","","",""
"AB5GG","2024/10/16","","91","AR","","","","","AR","","","","","","","","","","",""
"AB5GQ","2024/10/16","","76","NTX","","","","","TX","","","","","","","","","","",""
"AB5J","2024/10/16","","8","OK","","","","","OK","","","","","","","","","","",""
"AB5JM","2024/10/16","","10","LA","","","","","LA","","","","","","","","","","",""
"AB5JR","2024/10/16","","1","NM","","","","","NM","","","","","","","","","","",""
"AB5K","2024/10/16","","66","NTX","","","","","TX","","","","","","","","","","",""
"AB5KM","2024/10/16","","13","STX","","","","","TX","","","","","","","","","","",""
"AB5OR","2024/10/16","","93","MS","","","","","MS","","","","","","","","","","",""
"AB5TH","2024/10/16","","92","LA","","","","","LA","","","","","","","","","","",""
"AB5XM","2024/10/16","","93","STX","","","","","TX","","","","","","","","","","",""
"AB5XZ","2024/10/16","","58","STX","","","","","TX","","","","","","","","","","",""
"AB5ZA","2024/10/16","","80","MT","","","","","MT","","","","","","","","","","",""
"AB5ZA/7","2024/10/16","","80","MT","","","","","MT","","","","","","","","","","",""
"AB6NE","2024/10/16","","72","SDG","","","","","CA","","","","","","","","","","",""
"AB6TY","2024/10/16","","92","SB","","","","","CA","","","","","","","","","","",""
"AB6WL","2024/10/16","","69","ORG","","","","","CA","","","","","","","","","","",""
"AB6WM","2024/10/16","","65","SCV","","","","","CA","","","","","","","","","","",""
"AB6ZL","2024/10/16","","93","SV","","","","","CA","","","","","","","","","","",""
"AB7BB","2024/10/16","","14","AZ","","","","","AZ","","","","","","","","","","",""
"AB7CF","2024/10/16","","92","WWA","","","","","WA","","","","","","","","","","",""
"AB7E","2024/10/16","","67","AZ","","","","","AZ","","","","","","","","","","",""
"AB7I","2024/10/16","","76","WWA","","","","","WA","","","","","","","","","","",""
"AB7KT","2024/10/16","","79","NV","","","","","NV","","","","","","","","","","",""
"AB7MP","2024/10/16","","77","EWA","","","","","WA","","","","","","","","","","",""
"AB7NK","2024/10/16","","94","AZ","","","","","AZ","","","","","","","","","","",""
"AB7R","2024/10/16","","76","WWA","","","","","WA","","","","","","","","","","",""
"AB7RW","2024/10/16","","95","WWA","","","","","WA","","","","","","","","","","",""
"AB7WQ","2024/10/16","","67","EWA","","","","","WA","","","","","","","","","","",""
"AB7YB","2024/10/16","","97","ID","","","","","ID","","","","","","","","","","",""
"AB7YF","2024/10/16","","98","NV","","","","","NV","","","","","","","","","","",""
"AB7YQ","2024/10/16","","93","AZ","","","","","AZ","","","","","","","","","","",""
"AB7ZU","2024/10/16","","65","AZ","","","","","AZ","","","","","","","","","","",""
"AB8AA","2024/10/16","","92","OH","","","","","OH","","","","","","","","","","",""
"AB8AJ","2024/10/16","","75","OH","","","","","OH","","","","","","","","","","",""
"AB8CI","2024/10/16","","96","VA","","","","","VA","","","","","","","","","","",""
"AB8DF","2024/10/16","","98","MI","","","","","MI","","","","","","","","","","",""
"AB8JR","2024/10/16","","69","MI","","","","","MI","","","","","","","","","","",""
"AB8ND","2024/10/16","","0","MI","","","","","MI","","","","","","","","","","",""
"AB8OA","2024/10/16","","99","MI","","","","","MI","","","","","","","","","","",""
"AB8OJ","2024/10/16","","0","MI","","","","","MI","","","","","","","","","","",""
"AB8OU","2024/10/16","","60","OH","","","","","OH","","","","","","","","","","",""
"AB8PW","2024/10/16","","0","MI","","","","","MI","","","","","","","","","","",""
"AB8QH","2024/10/16","","2","MI","","","","","MI","","","","","","","","","","",""
"AB8SA","2024/10/16","","91","MI","","","","","MI","","","","","","","","","","",""
"AB8SC","2024/10/16","","2","MI","","","","","MI","","","","","","","","","","",""
"AB8VN","2024/10/16","","89","MI","","","","","MI","","","","","","","","","","",""
